Codigo RFID,Nome,Tipo
03F951C1,enfermeiro1,enfermeiro
055FB3EB,enfermeiro2,enfermeiro
0A44BAE2,enfermeiro3,enfermeiro
04B68A42,enfermeiro4,enfermeiro
01CE186C,enfermeiro5,enfermeiro
07FE3D1A,enfermeiro6,enfermeiro
0043177F,enfermeiro7,enfermeiro
0E381C60,enfermeiro8,enfermeiro
06BF5BD5,enfermeiro9,enfermeiro
0D700440,enfermeiro10,enfermeiro
057DE8DB,enfermeiro11,enfermeiro
0E4C6D66,enfermeiro12,enfermeiro
0FB01DE1,enfermeiro13,enfermeiro
0EE3AE50,enfermeiro14,enfermeiro
03B87E82,enfermeiro15,enfermeiro
090B5195,enfermeiro16,enfermeiro
0E2C4E4A,enfermeiro17,enfermeiro
0B1C6C64,enfermeiro18,enfermeiro
09A3D84C,enfermeiro19,enfermeiro
08EBC349,enfermeiro20,enfermeiro
04CF7D74,enfermeiro21,enfermeiro
05204771,enfermeiro22,enfermeiro
0C381F8A,enfermeiro23,enfermeiro
09A19F7E,enfermeiro24,enfermeiro
0A821C33,enfermeiro25,enfermeiro
0E858D8D,enfermeiro26,enfermeiro
0DDDEAA2,enfermeiro27,enfermeiro
0549A370,enfermeiro28,enfermeiro
07C7A43A,enfermeiro29,enfermeiro
0F1C44D0,enfermeiro30,enfermeiro
09BA2170,enfermeiro31,enfermeiro
0DC082D7,enfermeiro32,enfermeiro
0EC1AF2D,enfermeiro33,enfermeiro
014337C9,enfermeiro34,enfermeiro
02E4BDB8,enfermeiro35,enfermeiro
0C76B2C7,enfermeiro36,enfermeiro
00534B8F,enfermeiro37,enfermeiro
019C77C3,enfermeiro38,enfermeiro
0D4BFACC,enfermeiro39,enfermeiro
0FF319C2,enfermeiro40,enfermeiro
0F50BC63,enfermeiro41,enfermeiro
0E83AD49,enfermeiro42,enfermeiro
00F42635,enfermeiro43,enfermeiro
0DBE48A3,enfermeiro44,enfermeiro
01704A90,enfermeiro45,enfermeiro
0E022D6D,enfermeiro46,enfermeiro
078C34B1,enfermeiro47,enfermeiro
032C6E6F,enfermeiro48,enfermeiro
0818D0F8,enfermeiro49,enfermeiro
050406E8,enfermeiro50,enfermeiro
050536DA,enfermeiro51,enfermeiro
0F79E05F,enfermeiro52,enfermeiro
0926EC19,enfermeiro53,enfermeiro
0EA9FA68,enfermeiro54,enfermeiro
0104C1AF,enfermeiro55,enfermeiro
0FB1D55A,enfermeiro56,enfermeiro
06A1B06C,enfermeiro57,enfermeiro
