Codigo RFID,Nome,Tipo
031920F9,enfermeiro1,enfermeiro
06315823,enfermeiro2,enfermeiro
0F9EBF0A,enfermeiro3,enfermeiro
0494FCE0,enfermeiro4,enfermeiro
07F42000,enfermeiro5,enfermeiro
0EBBB6A9,enfermeiro6,enfermeiro
0EC49F53,enfermeiro7,enfermeiro
0B197340,enfermeiro8,enfermeiro
00117271,enfermeiro9,enfermeiro
0BB69BCE,enfermeiro10,enfermeiro
0A9E5E73,enfermeiro11,enfermeiro
04B8BB3C,enfermeiro12,enfermeiro
0770ECCA,enfermeiro13,enfermeiro
0F846427,enfermeiro14,enfermeiro
0C70A180,enfermeiro15,enfermeiro
025937B4,enfermeiro16,enfermeiro
0B8CCB5E,enfermeiro17,enfermeiro
0FBD7243,enfermeiro18,enfermeiro
0A5F3382,enfermeiro19,enfermeiro
0D362297,enfermeiro20,enfermeiro
11DBCBC9,tecnico1,tecnico
165568E2,tecnico2,tecnico
1A29EC1F,tecnico3,tecnico
1DA63352,tecnico4,tecnico
12D61C17,tecnico5,tecnico
1B1356E2,tecnico6,tecnico
1B47F038,tecnico7,tecnico
1864CA48,tecnico8,tecnico
16C993EF,tecnico9,tecnico
127041C0,tecnico10,tecnico
14DBE683,tecnico11,tecnico
13820B99,tecnico12,tecnico
1FFF0798,tecnico13,tecnico
1BD5480C,tecnico14,tecnico
19A9FDEF,tecnico15,tecnico
